player_image_url,player_name,player_country,player_club,player_position,player_stats_url
https://resources.premierleague.com/premierleague25/photos/players/110x140/80146.png,Jordan Ayew,Ghana,Leicester City,Forward,https://www.premierleague.com/en/players/80146/jordan-ayew/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Leon Ayinde,Ireland,Ipswich Town,Midfielder,https://www.premierleague.com/en/players/613041/leon-ayinde/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/448514.png,Rayan Aït-Nouri,Algeria,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/448514/rayan-ait-nouri/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/242880.png,Benoît Badiashile,France,Chelsea,Defender,https://www.premierleague.com/en/players/242880/benoit-badiashile/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Elkan Baggott,Indonesia,Ipswich Town,Defender,https://www.premierleague.com/en/players/517178/elkan-baggott/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/215711.png,Leon Bailey,Jamaica,Aston Villa,Midfielder,https://www.premierleague.com/en/players/215711/leon-bailey/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/535928.png,Stefan Bajcetic,Spain,Liverpool,Midfielder,https://www.premierleague.com/en/players/535928/stefan-bajcetic/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/475480.png,Benicio Baker-Boaitey,England,Brighton and Hove Albion,Forward,https://www.premierleague.com/en/players/475480/benicio-baker-boaitey/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/235448.png,Ellery Balcombe,England,Brentford,Goalkeeper,https://www.premierleague.com/en/players/235448/ellery-balcombe/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/535301.png,Carlos Baleba,Cameroon,Brighton and Hove Albion,Midfielder,https://www.premierleague.com/en/players/535301/carlos-baleba/stats
